street,state,city,postcode,safety_flag
119 N Sunset Dr ,NY  ,Ithaca,14850,FALSE
1100 1/2 W Balboa Blvd ,CA  ,Newport Beach,92661,FALSE
11379 Pyrites Way Suite A,CA  ,Rancho Cordova,95670,TRUE
6631 Main Street ,NY  ,Williamson,14221,FALSE
"1250 45th Street, Suite #250 ",CA  ,Oakland,94608,TRUE
"1801 Bush Street, Suite #206 ",CA  ,San Francisco,94109,FALSE
312 Arizona Ave Suite 235,CA  ,Santa Monica,90401,FALSE
50 Este Place ,NJ  ,Bloomfield,7003,TRUE
2461 Santa Monica Blvd Suite E,CA  ,Santa Monica,90404,FALSE
19762 MacArthur Blvd suite 200 ,CA  ,Irvine,92612,TRUE
3812 SEPULVEDA BLVD STE 505 ,CA  ,TORRANCE,90505,FALSE
241 E Campbell Ave Ste A,CA  ,Campbell,95008,FALSE
"274 Goodman Street North, Suite B136 ",NY  ,Rochester,14607,TRUE
11-18 46th Road ,NY  ,Long Island City,11101,FALSE
11 E Broadway #12B ,NY  ,New York,10038,TRUE
21 W 46th St 16th floor,NY  ,New York,10036,FALSE
129 Spring Mills Rd ,NJ  ,Milford,8848,FALSE
1520 NJ-38 ,NJ  ,Hainesport,8036,TRUE
5606 Kester Rd  ,NY  ,Memphis,13112,FALSE
76 Royal saint Georges Way ,CA  ,Rancho Mirage,92270,TRUE
3140 Sheridan Drive Ste 215,NY  ,Amherst,14226,FALSE
1685 Copenhagen Drive ,CA  ,Solvang,93463,FALSE
16 Merry Lane ,NJ  ,East Hanover,7936,TRUE
55 9th St ,CA  ,San Francisco,94104,FALSE
8687 Melrose Avenue Ste BM-06  ,CA  ,West Hollywood,90069,TRUE
12407 Slauson Avenue Suite G ,CA  ,Whittier,90606,FALSE
3359 26th St ,CA  ,San Francisco,94110,FALSE
5960 Broadway Terrace ,CA  ,Oakland,94618,TRUE
"1000 Q Street, Suite 103 ",CA  ,Sacramento,95811,FALSE
440 West Street Suite 323 ,NJ  ,Fort Lee,7024,TRUE
"NASA RES PARK, BLDG 19, #2063  ",CA  ,Moffett Field,94035,FALSE
6 W 28th St ,NY  ,New York,10001,FALSE
875 Mamaroneck Avenue Suite 304,NY  ,Mamaroneck,10543,TRUE
192 Garfield Avenue ,NY  ,Staten Island,10305,FALSE
5768 Rt 25A  Suite B,NY  ,Waiting River,11792,TRUE
"222 Broadway, 19th floor ",NY  ,New York,10038,FALSE
130 Theodore Fremd Ave #1A ,NY  ,Rye,10580,FALSE
990 Bay St. #603,CA  ,San Francisco,94109,TRUE
18 Lafayette Place ,NY  ,Woodmere,11598,FALSE
1405 Oak Grove Ave #106,CA  ,Burlingame,94010,TRUE
23 Nassau Ave ,NY  ,Inwood,11096,FALSE
11777 San Vicente Blvd Ste 702,CA  ,Los Angeles,90049,FALSE
612 W Duarte Rd Ste 504 ,CA  ,Arcadia,91007,TRUE
9542 Roosevelt Ave ,NY  ,Jackson Hts,11372,FALSE
7815 N. Palm Ave Suite 200 ,CA  ,Fresno,93711,TRUE
135 Belknap Ave ,NY  ,Yonkers,10710,FALSE
52 Market Street ,NY  ,Scotia,12302,FALSE
1254 Rush Scottsville Road ,NY  ,Rush,14543,TRUE
 ,,,,FALSE
"350 Cambridge Avenue, Suite 250 ",CA  ,Palo Alto,94306,TRUE
880 S Lake Blvd Ste 303,NY  ,Mehopac,10541,FALSE
100 View Street  Suite 112 ,CA  ,Mountain View,94041,FALSE
648 Northfield Drive ,CA  ,Sacramento,95833,TRUE
693 East Remington Drive ,CA  ,Sunnyvale,94087,FALSE
"1503 S. Coast Drive, Suite 200 ",CA  ,Costa Mesa,92626,TRUE
1921 North James St ,NY  ,Rome,13440,FALSE
95 Main St ,NY  ,Ravena,12143,FALSE
1661 Tennessee St Unit 2D,CA  ,San Francisco,94107,TRUE
4362 Auburn Blvd ,CA  ,Sacramento,95841,FALSE
115 East 82nd Street ,NY  ,New York,10028,TRUE
211 Pidgeon Hill Rd ,NY  ,Huntington Station,11746,FALSE
PO Box 887 ,NY  ,Millbrook,12545,FALSE
"1 Market Street Spear Tower , Suite 4025",CA  ,San Francisco,94105,TRUE
240-39 66th avenue ,NY  ,Douglaston,11362,FALSE
112-20 Liberty Avenue ,NY  ,South Richmond Hill,11419,TRUE
4498 Main Street  ,NY  ,Amherst,14226,FALSE
11 Pruner Farm Road  ,NJ  ,Lebanon,8833,FALSE
7777 Center Ave. Ste. 120 ,CA  ,Huntington Beach,92647,TRUE
257 Berry Street ,NY  ,Brooklyn,11249,FALSE
5892 Main Street ,NY  ,Williamsville,14221,TRUE
"2014 30th St, Ste 203 ",CA  ,San Diego,92104,FALSE
660 Fremont Avenue ,CA  ,Los Altos,94024,FALSE
46 Hugo St ,CA  ,San Francisco,94122,TRUE
1999 Avenue of the Stars Ste 1100,CA  ,Century City,90067,FALSE
725 30th St #209  ,CA  ,Sacramento,95816,TRUE
"3031 Tisch Way 110 Plaza West, ",CA  ,San Jose,95128,FALSE
7726 N. 1st St. #268 ,CA  ,Fresno,93720,FALSE
101 West Broadway Suite #510,CA  ,San Diego,92101,TRUE
718 Old San Francisco Rd Apt 206,CA  ,Sunnyvale,94086,FALSE
628 MacArthur Ave ,CA  ,San Mateo,94402,TRUE
60 S Market Street Suite 700  ,CA  ,San Jose,95113,FALSE
"1441 Broadway, Box 3094 Third Floor",NY  ,New York,10018,FALSE
"2311 Adam Clayton Powell Jr. Blvd, ",NY  ,New York,10030,TRUE
"2601 Ocean Park Blvd, Suite 212 ",CA  ,Santa Monica,90405,FALSE
"690 Pennsylvania Ave, #111 ",CA  ,San Francisco,94107,TRUE
5 Hunters Run ,NY  ,Ballston Lake,12019,FALSE
2486 Rt 20A ,NY  ,"Varysburg,",14167,FALSE
2709 Abruzzi Ct ,CA  ,Stockton,95206,TRUE
1555 Old Bayshore Hwy - Suite 310 Suite 310,CA  ,Burlingame,94010,FALSE
507 Stillwells Corner Road ,NJ  ,Freehold,7728,TRUE
6683 Sunset Blvd. Suite #4  ,CA  ,Los Angeles,90028,FALSE
1400 Lone Palm Ave Ste C ,CA  ,Modesto,95351,FALSE
11 EDWARD DR ,NJ  ,FLEMINGTON,8822,TRUE
189 Elm Street ,NJ  ,Westfield,7090,FALSE
22-55 31st st suite 200 ,NY  ,ASTORIA,11105,TRUE
1555 Rochester Way ,CA  ,Rocklin,95765,FALSE
2900 Main Street Suite 200 ,CA  ,Alameda,94501,FALSE
3461 Brookside Road - Ste A1 ,CA  ,Stockton,95219,TRUE
420 N. Montebello Blvd #300,CA  ,Montebello,90640,FALSE
823 Geary Street ,CA  ,San Francisco,94109,TRUE
PO Box 715 ,CA  ,San Marcos,92079,FALSE
16519 Brookhurst St ,CA  ,Fountain Valley,92708,FALSE
1651 3rd avenue suite 205 ,NY  ,New York,10128,TRUE
10 Pacer Court ,NJ  ,Colts Neck,7722,FALSE
27 Foxboro Ave ,NY  ,Farmingville,11738,TRUE
1667 Oak Avenue ,CA  ,Davis,95616,FALSE
400 MOUNTAIN AVE ,NJ  ,SPRINGFIELD,7081,FALSE
106 Depot Park ,NJ  ,Plainfield,7060,TRUE
964 FRANKLIN LAKES RD ,NJ  ,FRANKLIN LAKES,74172,FALSE
4123 Chase Avenue ,CA  ,Los Angeles,90066,TRUE
1599 E 15th St 4th Floor,NY  ,Brooklyn,11230,FALSE
1250 Borregas Ave ,CA  ,Sunnyvale,94089,FALSE
305 Borchard Drive ,CA  ,Ventura,93003,TRUE
150 Oscawana Lake Rd ,NY  ,Putnam Valley,10579,FALSE
324 WEST MAPLE STREET ,NY  ,CORINTH,12822,TRUE
350 Motor Parkway Suite 308 ,NY  ,Hauppauge,11788,FALSE
"3002 Dow Ave, Ste 208 ",CA  ,Tustin,92780,FALSE
1421 Secret Ravine PKWY Suite 111 ,CA  ,Roseville,95661,TRUE
51 Columbia Pl Apt 1,NY  ,Brooklyn,11201,FALSE
63 Constitution Way ,NJ  ,Morristown,7960,TRUE
1427 Valencia St ,CA  ,San Francisco,94110,FALSE
800 The Mark Lane Unit 1906 ,CA  ,San Diego,92101,FALSE
23201 Mill Creek Drive Ste. 225 ,CA  ,Laguna Hills,92653,TRUE
1617 Balboa Street ,CA  ,San Francisco,94121,FALSE
7030 East Genesee Street ,NY  ,Fayetteville,13066,TRUE
1125 E Broadway St #120 ,CA  ,Glendale,91205,FALSE
1675 Rte 9 ,NY  ,Clifton Park,12065,FALSE
54 W 89th St 2R,NY  ,New York,10024,TRUE
1020 Springfield Ave  ,NJ  ,Mountainside,7092,FALSE
6 Commerce Street Suite 2 ,NJ  ,Branchburg,88766,TRUE
204 E 38th St ,NY  ,New York,10016,FALSE
205 Genesee Street ,NY  ,Oneida,13421,FALSE
300 S BEVERLY DR STE 400  ,CA  ,Beverly Hills,90212,TRUE
Po Box 517 ,NY  ,High Falls,12440,FALSE
1260 Huntington Drive Ste 205,CA  ,South Pasadena,91030,TRUE
1000 Gates Ave 3rd Floor ,NY  ,Brooklyn,11221,FALSE
1726 Western Ave ,NY  ,Albany,12203,FALSE
2131 Capitol Ave. Suite 206 ,CA  ,Sacramento,95816,TRUE
1700 Elm Ave ,CA  ,Manhattan Beach,90266,FALSE
205 Sparrow Drive ,NJ  ,Hamilton Square,8690,TRUE
1350 Avenue Of The Americas ,NY  ,New York,10019,FALSE
271 Delaware Ave ,NY  ,Delmar,12054,FALSE
168 B Irving Ave ,NY  ,Port Chester,10573,TRUE
209 S Livingston Ave Ste 6,NJ  ,Livingston,7039,FALSE
3534 Berthat ,,,11510,TRUE
4910 Third Street ,CA  ,San Francisco,94124,FALSE
7005 N Chestnut Ave Ste 101 ,CA  ,Fresno,93720,FALSE
23133 Hawthorne Blvd Suite B-09,CA  ,Torrance,90505,TRUE
340 S Lemon Ave #1588 ,CA  ,Walnut,91789,FALSE
1767 Central Avenue  ,NY  ,Albany,12205,TRUE
121 Sherman Pl ,NJ  ,Jersey City,7307,FALSE
96 Joann Court ,NJ  ,Monmouth Junction,8852,FALSE
PO BOX 1479 ,CA  ,Templeton,93465,TRUE
57 Capital Dr ,NY  ,Washingtonville,10992,FALSE
227 Lower Walden Rd ,CA  ,Carmel-by-the-sea,93923,TRUE
179 S Barrington Pl  Ste B,CA  ,Los Angeles,90049,FALSE
234 5th Avenue ,NY  ,GREENPORT,11944,FALSE
139 Meyer Road ,NY  ,Halfmoon,12065,TRUE
607 Bay Blvd ,NJ  ,Lavallette,8735,FALSE
"5500 Main St., Suite 108 ",NY  ,Williamsville,14221,TRUE
2 Hoffman Ave ,CA  ,San Francisco,94114,FALSE
414 Landover Drive ,GA  ,Decatur,30030,FALSE
2125 Bryant St Unit 112,CA  ,San Francisco,94110,TRUE
724 S Spring St ,CA  ,Los Angeles,90014,FALSE
61 Delancey St ,NY  ,New York,10002,TRUE
947 Dolores Street ,CA  ,San Francisco,94110,FALSE
9378 Wilshire Blvd Ste 320 ,CA  ,Beverly Hills,90212,FALSE
457 Tarrytown Rd ,NY  ,White Plains,10607,TRUE
3428 Bates Rd ,NY  ,Medina,14103,FALSE
PO BOX 1626  ,CA  ,Suisun City,94585,TRUE
551 Madison Avenue Suite 1202,NY  ,New York,10022,FALSE
12265 Ventura Blvd. Suite 107,CA  ,Studio City,91604,FALSE
10000 Lincoln Dr E STE 201 ,NJ  ,Marlton,8053,TRUE
104 Kasson Rd ,NY  ,Camillus,13031,FALSE
79 Winfield Ave ,NY  ,Harrison,10528,TRUE
1558 Osborn Ave ,NY  ,Riverhead,11901,FALSE
15605 Heron Ave ,CA  ,La Mirada,90638,FALSE
17595 Harvard C510 ,CA  ,Irvine,92614,TRUE
16 2ND ST STE 1 ,NY  ,TROY,12180,FALSE
1 Orient Way STE F258 ,NJ  ,Rutherford,7070,TRUE
6608 E Pacific Coast Hwy ,CA  ,LONG BEACH,90803,FALSE
4856 McKinley Parkway ,NY  ,Hamburg,14075,FALSE
46 Latitude ,CA  ,Irvine,95377,TRUE
1746 MESCAL ST ,CA  ,SEASIDE,93955,FALSE
8605 Santa Monica Blvd 15005 ,CA  ,West Hollywood,90069,TRUE
"3625 E. Thousand Oaks Blvd., Suite 209 ",CA  ,Westlake Village,91362,FALSE
30 Washington Avenue Suite B3,NJ  ,Haddonfield,8033,FALSE
548 MARKET ST #14277 ,CA  ,SAN FRANCISCO,94104,TRUE
140 Center St ,CA  ,El Segundo,90245,FALSE
195 Chrystie St Ste 700E ,NY  ,New York,10002,TRUE
747 Wantagh Ave ,NY  ,Wantagh,11793,FALSE
4228 Fanuel Street Unit C ,CA  ,San Diego,92109,FALSE
"3216 MING AVE, STE D ",CA  ,BAKERSFIELD,93304,TRUE
6103 N Figueroa St ,CA  ,Los Angeles,90042,FALSE
6 Ash Ave ,CA  ,Corte Madera,94925,TRUE
PO Box 7019 ,CA  ,Tahoe City,96145,FALSE
329 Haddon Ave ,NJ  ,Haddon Township,8108,FALSE
1 Valley Plaza ,NY  ,Johnson City,13790,TRUE
731 E Yosemite Ave Ste B # 165,CA  ,Merced,95340,FALSE
"212 Marine St, Suite 100 ",CA  ,Santa Monica,90405,TRUE
222 Main Street Venice ,CA  ,Venice,90291,FALSE
"315 Madison Avenue 3rd Floor, Suite 4005",NY  ,New York,10017,FALSE
2159 India St ,CA  ,San Diego,92101,TRUE
2057 Merrick Rd ,NY  ,North Merrick,11566,FALSE
4112 Allaire Road ,NJ  ,Farmingdale,7727,TRUE
2251 Yale St ,CA  ,Palo Alto,94306,FALSE
49 Beach St ,NY  ,New York,10013,FALSE
26000 Towne Centre Drive Suite 130,CA  ,Foothill Ranch,92610,TRUE
155 Madison St ,NY  ,Oneida,13421,FALSE
247 Devoe St ,NY  ,Brooklyn,11211,TRUE
201 North Union St STE 701 ,NY  ,Olean,14760,FALSE
951 Haddonfield Road Building A1 3rd Fl 3B ,NJ  ,Cherry Hill,8002,FALSE
260 Madison Ave Suite 8051,NY  ,New York,10016,TRUE
c/o NewtonX 33 Irving Pl,NY  ,New York,10003,FALSE
"5805 Sepulveda Blvd, Ste 670 ",CA  ,Van Nuys,,TRUE
"6300 Wilshire Blvd., Suite 980  ",CA  ,Los Angeles,90048,FALSE
135 ASHLAND PLACE SUITE 12A,NY  ,BROOKLYN,11201,FALSE
PO BOX 1 ,CA  ,MT SHASTA,96067,TRUE
603A W JERICHO TPKE ,NY  ,HUNTINGTON,11743,FALSE
1255 N Refugio Rd ,CA  ,Santa Ynez,93460,TRUE
1008 Main St Suite 203,NY  ,Peekskill,10566,FALSE
414 Brannan St ,CA  ,San Francisco,94107,FALSE
800 Indiana St Apt 210,CA  ,San Francisco,94107,TRUE
597 Milestrip Rd ,NY  ,Irving,14081,FALSE
133 E 54th Street Ste 202A,NY  ,New York,10022,TRUE
250 Soco Dr ,CA  ,Fullerton,92832,FALSE
2751 Currier Ave  ,CA  ,Simi Valley,93065,FALSE
"155 West Washington Blvd, Ste 660 ",CA  ,Los Angeles,90015,TRUE
330 Primrose Rd Suite 201,CA  ,Burlingame,94010,FALSE
4055 Oceanside Blvd Ste C ,CA  ,Oceanside,92056,TRUE
1 Market Street Suite 2C,NJ  ,Camden,8102,FALSE
145 NORTH AVE ,NJ  ,PARK RIDGE,7656,FALSE
"520 Eighth Avenue, #312 ",NY  ,New York,10018,TRUE
"250 Montgomery St, Suite 1200, ",CA  ,"San Francisco,",94104,FALSE
615 Griswold St Ste 520 ,MI  ,Detroit,48226,TRUE
5403 college ave ,CA  ,Oakland,94618,FALSE
2425 Golden Hill Road Ste 104 ,CA  ,Paso Robles,93446,FALSE
406 Coloma heights Rd #337,CA  ,Coloma,95613,TRUE
2684 E Thousand Oaks Blvd ,CA  ,Thousand Oaks,91362,FALSE
123 S. Commerce St. Suite D ,CA  ,Stockton,95202,TRUE
1013 Avenue K ,NY  ,Brooklyn,11230,FALSE
38792 Millwood Dr ,CA  ,Woodlake,93286,FALSE
5 Algonquin Drive ,NY  ,Queensbury,12804,TRUE
119 Grand St Apt 1,NJ  ,Jersey City,7302,FALSE
3 Lydia ,NJ  ,West New York,7093,TRUE
35 Kings Highway Eas Suite 103 ,NJ  ,Haddonfield,8033,FALSE
480 Morris Ave ,NJ  ,Summit,7901,FALSE
101 Jefferson Dr ,CA  ,Menlo Park,94025,TRUE
128 Robin Lane ,NY  ,Copake,12516,FALSE
150 Broadway Suite 1710,NY  ,New York,10038,TRUE
8777 Auburn Folsom Rd 317 ,CA  ,Granite Bay,95746,FALSE
232 Shumway Ln ,CA  ,Mountain View,94041,FALSE
250 Rainbow Blvd ,NY  ,Niagara Falls,14303,TRUE
"636 Plank Road, Suite 104 ",NY  ,Clifton Park,12065,FALSE
8 YELLOWPINE LN  ,CA  ,Trabuco Canyon,92679,TRUE
2099 South 10th St Suite 60,CA  ,San Jose,95112,FALSE
11384 Copperleaf Ln ,CA  ,San Diego,92124,FALSE
114 Pearl Alley ,CA  ,Santa Cruz,95060,TRUE
121 W. Lexington Dr. Ste 202 ,CA  ,Glendale,91203,FALSE
380 Portage Ave ,CA  ,Palo Alto,94306,TRUE
2 TOWNSEND ST NUM 1-0707 ,CA  ,SAN FRANCISCO,94107,FALSE
PO Box 642 ,CA  ,Ojai,93022,FALSE
918 Parker St ,CA  ,Berkeley,94710,TRUE
701 N BLACKHORSE PIKE ,NJ  ,WILLIAMSTOWN,8094,FALSE
165 Greenpoint Ave ,NY  ,Brooklyn,11222,TRUE
37645 Mulligan Dr ,CA  ,Beaumont,92223,FALSE
65 Hillsdale Rd ,NJ  ,Cedar Grove,7009,FALSE
2139 Route 33 Unit A,NJ  ,Hamilton,8690,TRUE
2001 Sacramento Street Apt 8,CA  ,San Francisco,94109,FALSE
310 S Wells Rd Unit 101,CA  ,Ventura,93004,TRUE
8911 Gibson St ,CA  ,Los Angeles,90034,FALSE
322 Fairview Ave. ,NY  ,Hudson,12534,FALSE
27349 Jefferson Ave #209,CA  ,Temecula,92590,TRUE
PO Box 1508 ,CA  ,Mill Valley,94942,FALSE
8788 Greenback Ln Suite 105,CA  ,Orangevale,95662,TRUE
"7660 Fay Avenue, CA, United States Suite H136",CA  ,La Jolla,92037,FALSE
"1615 W. Main St., Ste E ",CA  ,El Centro,92243,FALSE
79 Madison Ave ,NY  ,New York,10016,TRUE
2 Lafayette Park ,NY  ,Oxford,13830,FALSE
254 Driggs Avenue ,NY  ,Brooklyn,11222,TRUE
PO BOX 23791 ,NY  ,ROCHESTER,14692,FALSE
171 Saxony Rd Suite 105,CA  ,Encinitas,92024,FALSE
85 Broad Street 17th Floor,NY  ,New York,10004,TRUE
1004 Main St Suite 1 ,NY  ,Fishkill,12524,FALSE
1900 S Norfolk St Suite 350,CA  ,San Mateo,94403,TRUE
PO BOX 1073 ,NJ  ,Point Pleasant Beach,8742,FALSE
501 Beale St PH2D,CA  ,San Francisco,94105,FALSE
650 California St 7th Floor,CA  ,San Francisco,94108,TRUE
41 Santa Monica Way ,CA  ,San Francisco,94127,FALSE
300 S. State Street STE 404 ,NY  ,Syracuse,13202,TRUE
237 Kearny St #424 ,CA  ,San Francisco,94107,FALSE
1137 W Ave M 14 Suite 102 ,CA  ,Palmdale,93551,FALSE
PO Box 409 ,CA  ,Carmel Valley,93924,TRUE
10622 Bryant Street SP 59 ,CA  ,Yucaipa,92399,FALSE
68-32 Clyde St ,NY  ,Forest Hills,11375,TRUE
290 Utah Street ,CA  ,San Francisco,94103,FALSE
4679 McCoy Ave ,CA  ,San Jose,95130,FALSE
21 PRINCE ST ,NY  ,NEW YORK,10012,TRUE
PO Box 2242 ,CA  ,Santa Cruz,95063,FALSE
1520 East Delavan Avenue  ,NY  ,Buffalo,14215,TRUE
"5672 Almaden Expressway, #B ",CA  ,San Jose,95118,FALSE
1612 Fiske Pl ,CA  ,Oxnard,93033,FALSE
PO BOX 3188 ,CA  ,Los Altos,94024,TRUE
235 Harrison St Maildrop 15,NY  ,Syracuse,13202,FALSE
9223 Archibald Ave Unit H,CA  ,Rancho Cucamonga,91730,TRUE
450 Cedar Lane ,NJ  ,Lanoka Harbor,8734,FALSE
PO BOX 1013 ,CA  ,Julian,92036,FALSE
1490 O'Brien Drive Suite C,CA  ,Menlo Park,94025,TRUE
"78900 Avenue 47, Suite 100 ",CA  ,La Quinta,92253,FALSE
2150 Shattuck Ave Penthouse,CA  ,Berkeley,94704,TRUE
301 11th St Unit 5 ,CA  ,San Francisco,94103,FALSE
324 5th St Fl 1 ,CA  ,San Francisco,94107,FALSE
311 Oak Ridge Drive Ste 3,CA  ,Roseville,95661,TRUE
12 Lilac Ave ,CA  ,Kentfield,94904,FALSE
5530 Sheridan Drive STE 2 ,NY  ,Williamsville,14221,TRUE
329 Marltron Pike West ,NJ  ,Cherry Hill,8002,FALSE
100 Montgomery Street Suite 1790,CA  ,San Francisco,94104,FALSE
8726 S Sepulveda Blvd Ste D ,CA  ,Los Angeles,90045,TRUE
18 ENDEAVOR STE 304 ,CA  ,IRVINE,92618,FALSE
1433 Hooper Ave Suite 339,NJ  ,Toms River,8753,TRUE
"353 Sacramento St 18th FL, STE# 1804",CA  ,San Francisco,94111,FALSE
8605 Santa Monica Blvd #86227,CA  ,West Hollywood,90069,FALSE
275 Welburn Ave Ste M ,CA  ,Gilroy,95020,TRUE
101 GLENBROOK BLVD ,NJ  ,MOUNT LAUREL,8054,FALSE
2355 Portola Road Suite A ,CA  ,Ventura,93003,TRUE
111 Oak St ,NY  ,Brooklyn,11222,FALSE
795 Franklin Ave Bld B STE 204,NJ  ,Franklin Lakes,7417,FALSE
17155 Von Karman Ave. #104 ,CA  ,Irvine,92614,TRUE
350 Cambridge Ave Suite 130,CA  ,Palo Alto,94306,FALSE
174 route 94 ,NJ  ,Blairstown,8846,TRUE
3730 20th St. ,CA  ,San Francisco,94110,FALSE
50 post st ste 9 ,CA  ,San Francisco,94104,FALSE
9035 Sierra Ave ,CA  ,Fontana,92335,TRUE
1561 Geer Rd ,CA  ,Turlock,95380,FALSE
5 Lucerne St. #1  ,CA  ,San Francisco,94103,TRUE
200 Salisbury Street ,NY  ,Rochester,14609,FALSE
475 Bement Ave ,NY  ,Staten Island,10310,FALSE
727 Sansome Street Ste 100 Ste 100,CA  ,San Francisco,94111,TRUE
227 Main Ave ,NJ  ,Passaic,7055,FALSE
166 Monmouth Rd ,NJ  ,Oakhurst,7755,TRUE
3530 W. Bayshore Road ,CA  ,Palo Alto,94303,FALSE
664 N Palm Canyon Drive Unit B ,CA  ,Palm Springs,92262,FALSE
PO box 6912 ,CA  ,Norco,92860,TRUE
350 Alabama St ,CA  ,San Francisco,94110,FALSE
16735 Rendon Vally Road ,CA  ,Ramona,92065,TRUE
215 2nd Street Floor 3,CA  ,San Francisco,94105,FALSE
7 Smull Ave ,NJ  ,Caldwell,7006,FALSE
3370 Sheridan Drice ,NY  ,Amhurst,14226,TRUE
1315 State Route 5 ,NY  ,Chittenango,13037,FALSE
48 Worrall Ave ,NY  ,Poughkeepsie,12603,TRUE
916 Bancroft Way ,CA  ,Berkeley,94710,FALSE
345 Lincoln Pl 2B,NY  ,Brooklyn,11238,FALSE
172 Jackson ,NY  ,Brooklyn,11211,TRUE
447 Battery St 3rd Floor ,CA  ,San Francisco,94111,FALSE
1205 Monmouth Rd. ,NJ  ,Eastampton,8060,TRUE
7 Flower Ave ,NY  ,Hastings on Hudson,10706,FALSE
"39-40 Broadway, 1st Floor  ",NJ  ,Fair Lawn,7410,FALSE
"3003 New Hyde Park Rd, Ste 312 ",NY  ,New Hyde Park,11040,TRUE
5301 Office Park Dr. Ste 300  ,CA  ,Bakersfield,93309,FALSE
3137 Castro Valley Blvd suite 210,CA  ,Castro Valley,94546,TRUE
159 East City Place Dr ,CA  ,Santa Ana,92705,FALSE
284 State Street ,NY  ,Albany,12210,FALSE
 7 Christopher St,NY  ,New York,10014,TRUE
"4714 5th Avenue, Second Floor ",NY  ,Brooklyn,11220,FALSE
190 E 98th St ,NY  ,Brooklyn,11212,TRUE
2 Nottingham Circle ,NJ  ,Princeton,8540,FALSE
PO Box 881824  ,CA  ,Los Angeles,90009,FALSE
575 Seminole Drive ,CA  ,Merced,95340,TRUE
250 South Service Rd ,NY  ,Roslyn Heights,11577,FALSE
17 Hamburg Turnpike  ,NJ  ,Riverdale,7457,TRUE
77A NY-25A ,NY  ,Rocky Point,11778,FALSE
"2580 North First St, Suite 130 ",CA  ,San Jose,95131,FALSE
"617 Oradell Avenue, Suite 2 ",NJ  ,Oradell,7649,TRUE
2828 Cochran St ,CA  ,Simi Valley,93065,FALSE
2133 East Henrietta Road ,NY  ,Rochester,14623,TRUE
257 West Kingbridge Rd ,NY  ,Bronx,10463,FALSE
7 Cobblestone Ct ,NY  ,Nesconset,11767,FALSE
29 Faith Lane ,NY  ,Ardsley,10502,TRUE
8420 Oswego Road  ,NY  ,Liverpool,13090,FALSE
660 4th St. #234 ,CA  ,San Francisco,94107,TRUE
660 Central Ave Ste 3 ,NY  ,Cedarhurst,11516,FALSE
9580 Oak Avenue Pkwy Ste 6  ,CA  ,Folsom,95630,FALSE
1416 east 5th st  ,CA  ,Oxnard,93030,TRUE
1288 Central Ave ,NY  ,Far Rockaway,11691,FALSE
"136-20 38TH STREET SUITE 10E, ",NY  ,FLUSHING,11354,TRUE
SCHOOL OF DANCE & GYMNASTICS 97 MAIN STREET,NJ  ,WOODBRIDGE,7095,FALSE
64 Astor Avenue ,NY  ,St James,11780,FALSE
45 Bryant Woods North ,NY  ,Buffalo,14228,TRUE
3175 Millersport Highway ,NY  ,Getzville,14068,FALSE
PIER 5 STE 101 ,CA  ,San Francisco,94111,TRUE
34 E 39th St Suite 2B,NY  ,New York,10016,FALSE
"60 Seaman Avenue, 4E ",NY  ,New York,10034,FALSE
1 West 34Th Str Suite 904 ,NY  ,New York,10001,TRUE
Po Box 68 ,NY  ,Solvay,13209,FALSE
1715 Business Center Drive ,CA  ,Duarte,91010,TRUE
"68 34Th St, Building 6 4Th Floor, Ste 421",NY  ,Brooklyn,11232,FALSE
26 Longmeadow Drive ,NY  ,Delmar,12054,FALSE
11 N Airmont Rd. ,NY  ,Suffern,10901,TRUE
877 Cedar St. Ste. 150,CA  ,Santa Cruz,95060,FALSE
495 Flatbush Ave ,NY  ,Brooklyn,11225,TRUE
"390 Route 10 West, Ste 301 ",NJ  ,Randolph,7869,FALSE
PO BOX 777 ,NJ  ,Elmer,3818,FALSE
1413 Edgemont St ,CA  ,San Diego,92102,TRUE
"801 Church St, 1111 ",CA  ,Mountain View,94041,FALSE
2515 Camino Del Rio South  Suite 225,CA  ,San Diego,92108,TRUE
951 El Cajon Way ,CA  ,Palo Alto,94303,FALSE
132 W. Groton Rd.  ,NY  ,Groton,13073,FALSE
203 Castillon Wa ,CA  ,San Jose,95119,TRUE
"304 S Broadway, Ste 420 ",CA  ,Los Angeles,90013,FALSE
6728 Fair Oaks Blvd #300 ,CA  ,Carmichael,95608,TRUE
413 Grand St Apt. F1603,NY  ,New York,10002,FALSE
15 Addison Rd ,NJ  ,Bergenfield,7621,FALSE
548 Market St. # 18091 ,CA  ,San Francisco,94104,TRUE
690 Pennsylvania Ave Unit 115,CA  ,San Francisco,94107,FALSE
107 E MT. PLEASANT AVE  SUITE: 1 ,NJ  ,Livingston,7039,TRUE
109 S 5th St ,NY  ,Brooklyn,11249,FALSE
7040 Avenida Encinas Suite 104,CA  ,Carlsbad,92011,FALSE
2233 Grant St Apt 13,CA  ,Berkeley,94703,TRUE
PO BOX 7261 ,NJ  ,Hillsborough,8844,FALSE
101 Kraemer Blvd. ,CA  ,Placentia,92870,TRUE
7966-7968 Fountain Ave ,CA  ,West Hollywood,90046,FALSE
800 J Street Suite 406 ,CA  ,Sacramento,95814,FALSE
630 University Ave ,CA  ,Las Gatons,95032,TRUE
